,Наименование,Город,ИНН,Благонадежный (да/нет),Маил Добро,Маил Добро ссылка,Ссылка на сайт,Нужна помощь,Нужна помощь Описание,Нужна помощь Ссылка,Нужна помощь Фонд
115,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ФОНД ПОДДЕРЖКИ СЛЕПОГЛУХИХ ""СО-ЕДИНЕНИЕ""",Москва,7710481372.0,да,Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»,https://dobro.mail.ru/funds/blagotvoritelnyj-fond-fond-podderzhki-slepogluhih-so-edinenie/,http://so-edinenie.org/,Фонд поддержки слепоглухих «Со-единение»,Помогаем детям и взрослым с одновременным нарушением слуха и зрения,1682050.0,https://nuzhnapomosh.ru/funds/fond-podderghki-slepogluhih-so-edinenie/
116,"Благотворительный фонд ""Адели""",Москва,7713387297.0,да,,,,,,,0
117,"Благотворительный фонд развития паллиативной помощи ""Детский паллиатив""",Москва,7713429927.0,да,БФ «Детский паллиатив»,https://dobro.mail.ru/funds/bf-detskij-palliativ/,http://rcpcf.ru/,Детский паллиатив,Паллиативная помощь для детей и поддержка их семей,4065058.0,https://nuzhnapomosh.ru/funds/detskiy-palliativ/
118,"Благотворительный фонд социальной помощи детям ""Расправь крылья!""",Москва,7714320305.0,да,,,,,,,0
119,"Благотворительный фонд поддержки семьи, материнства и детства ""Женщины за жизнь""",Москва,7714392719.0,да,,,,,,,0
120,"Благотворительный фонд ""Творческое объединение ""Круг""",Москва,7714403103.0,да,Творческое объединение «Круг»,https://dobro.mail.ru/funds/tvorcheskoe-obedinenie-krug/,http://www.tokrug.ru/ru/,Творческое объединение «Круг»,Социо-культурная реабилитация и профессиональная адаптация людей с ОВЗ,1604654.0,https://nuzhnapomosh.ru/funds/tvorcheskoe-obyedinenie-krug/
121,"Благотворительный фонд помощи тяжелобольным детям ""Живи""",Москва,7717163361.0,да,Благотворительный фонд «Живи сейчас»,https://dobro.mail.ru/funds/bf-zhivi-sejchas/,https://alsfund.ru,"Живи, малыш","Фонд «Живи, малыш» оказывает всестороннюю помощь детям с ДЦП",59830.0,https://nuzhnapomosh.ru/funds/ghivi-malysh/
122,"ФОНД ПОМОЩИ ДЕТЯМ, СТРАДАЮЩИМ ТЯЖЕЛЫМИ ЗАБОЛЕВАНИЯМИ И ИХ СЕМЬЯМ, ДЕТЯМ СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ, А ТАКЖЕ ГРАЖДАНАМ, НАХОДЯЩИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ВРЕМЯ""",Москва,7717287575.0,нет,Движение «Друзья на улице»,https://dobro.mail.ru/funds/avtonomnaya-nekommercheskaya-organizaciya-centr-socialnyh-i-kulturno-prosvetitelskih-uslug-druzya-ob/,Нет,,,,0
123,"Благотворительный фонд помощи недоношенным детям ""Право на чудо""",Москва,7718145439.0,да,Благотворительный фонд помощи семьям с недоношенными детьми «Право на чудо»,https://dobro.mail.ru/funds/pravo-na-chudo/,https://pravonachudo.ru,Право на чудо,"Помощь семьям, столкнувшимся с проблемами недоношенности детей",2072942.0,https://nuzhnapomosh.ru/funds/pravo-na-chudo/
124,"Межрегиональная общественная организация инвалидов ""Пилигрим""",Москва,7718220340.0,да,,,,,,,0
